,日付,タイトル
0,2019年06月07日,2019年6月6日 滋賀県EBPMモデル研究事業報告会を開催
1,2019年06月06日,君の未来にチャレンジ！無料オンライン講座「高校生のためのデータサイエンス入門」7月19日開講、受講生募集中。 データサイエンス学部AO入試にも活用
2,2019年05月29日,助教の公募（データサイエンス分野）7月5日〆切
3,2019年05月29日,(公財)関西生産性本部、(株)オージス総研と共同「第2期製造業向けデータサイエンス人材育成塾」開催案内（10月7日～11月25日）
4,2019年05月28日,データサイエンス教育研究センター報”Data Science VIew” Vol.3【PDF】をアップしました
5,2019年05月27日,データサイエンス研究科博士後期課程 2020年4月設置申請中
6,2019年05月17日,県外高校（香川県立観音寺第一高等学校）と初の連携協力協定を締結
7,2019年05月16日,オンラインによる大学生向けデータサイエンス講座を無料開講～AI時代に必須の機械学習手法を解説～
8,2019年05月13日,佐藤智和 教授が研究代表を務める「実世界の仮想化に基づく高臨場VR防災教育システムの開発」が SCOPEのフェーズⅡに継続採択されました。
9,2019年05月08日,AERA 2019年5月13日増大号に掲載されました
10,2019年04月15日,ビッグデータの解析結果に至った原因の関係性を分析・可視化する「因果探索ソリューション」に貢献しました
11,2019年04月08日,高島市職員のデータ活用能力向上のための研修を実施しました
12,2019年04月08日,トヨタグループとの連携による、  平成３０年度ビッグデータ分析人材育成プログラム  「機械学習実践道場」の修了報告会を彦根キャンパスで開催。
13,2019年04月02日,データサイエンス学部生によるスポーツデータ解析に関する記事が朝日新聞デジタルに掲載されました
14,2019年04月01日,江崎剛史助教、藤澤知親助教、山口崇幸助教が着任しました
15,2019年04月01日,岩山幸治准教授、高柳昌芳准教授、西出 亮准教授、村松千左子准教授が着任しました
16,2019年04月01日,佐藤健一教授、杉本知之教授、槙田直木教授が着任しました
17,2019年03月29日,㈱パルコと連携・協力に関する協定を締結
18,2019年03月29日,㈱NTTドコモと連携・協力に関する協定を締結
19,2019年03月29日,㈱インテージホールディングスと産学連携に関する基本協定を締結
